DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2023-04,3311,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2023-06,3718,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2022-07,748976,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2022-09,673121,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2022-11,373867,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2023-01,329562,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2023-03,391583,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2023-05,727668,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2023-07,1043838,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCLK,2023-09,909602,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2022-07,392053,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2022-09,377551,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2022-11,184398,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2023-01,143020,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2023-03,204971,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2023-05,364817,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2023-07,430247,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY_LCPH,2023-09,401729,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ_LKKV,2022-08,1915,
